Question,Correct Answer,Correct Index,Option A,Option B,Option C,Option D
"In the 2000 movie The Patriot, what was on the necklace that Benjamin gives Gabriels wife?",The North Star,1,The North Star,It was a locket with Gabriels face in it.,Rust and dirt,A gold and ruby heart
"How many minutes did President Bush remain seated, reading My Pet Goat in a 3rd-grade classroom in Florida, after he was first told  America is under attack on September 11, 2001?",5 Minutes,2,2 minutes,5 Minutes,1 minute,10 minutes
"In the musical Wicked, which premiered on Broadway in October 2003, Elphaba sings in all of the following numbers except one.  Which one is it?",Thank Goodness,1,Thank Goodness,For Good,Something Bad,What Is This Feeling (Loathing)
This model was romantically linked to INXS lead singer Michael Hutchence.,Helena Christensen,3,Linda Evangeliste,Tyra Banks,Helena Christensen,Heidi Klum
On which of the Canary Islands is the Mount Teide volcano located?,Tenerife,4,Gran Canaria,Fuerteventura,La Palma,Tenerife
"What 1995 movie is this quote from: Little Tommy Daggett. How I loved listening to your sweet prayers. Then you would hop into bed, afraid that I was hiding under it. And I was!?",The Prophecy,1,The Prophecy,Event Horizon,The People Under the Stairs,Salems Lot
What is the Shafer Queen?,River boat,4,Fine dining restaurant,Mini golf course,Antique auto,River boat
Witchcraft was used as the explanation for a sickness that afflicted some of the village girls in Salem. Historians now believe that the girls hallucinations may have been caused by eating moldy bread.,True,1,True,False,N/A,N/A
"In 1939, Tito Puente joined the band of what famous Latin musician?",Jose Curbelo,4,Gene Krupa,Xavier Cugat,Johnny Pacheco,Jose Curbelo
What flower song was released by Bon Jovi in 1992?,Bed of Roses,2,Bed of Poppies,Bed of Roses,Bed of Daisies,Bed of Lilies
"Part of the Southeast Ridge Route for climbing Mt. Everest is the Lhotse Face in which Camp III is established. There are 14 peaks over 8,000 meters. Where does Lhotse rank?",4,1,4,3,8,13
Sams sister Ginny is having menstrual cramps right before her wedding in Sixteen Candles. What does she take to relieve the pain?,muscle relaxants,2,Vodka,muscle relaxants,Midol,a bunch of aspirin
"What song by 30 Seconds to Mars opens with the question, Did we create a modern myth?",A Modern Myth,2,Was It a Dream,A Modern Myth,From Yesterday,Attack
What is the name of the horse saved and trained by Velvet Brown in the 1944 movie National Velvet?,The Pie,3,Berry,The Apple,The Pie,Cherry
In what big city is the 2004 action thriller movie Man on Fire set?,Mexico City,3,Rio de Janeiro,Buenos Aires,Mexico City,Havana
"Dont Worry, Be Happy was the title of a popular song in 1988 by this artist.",Bobby McFerrin,4,Quincy Jones,Herbie Hancock,Rockwell,Bobby McFerrin
Youre one sad strange little man is a line from this movie.,Toy Story,3,Ratatoiullie,A Bugs Life,Toy Story,The Incredibles
"During WWII, famous athletes, movie stars, and other celebrities often made appearances to encourage Americans to do which of the following?",Buy war bonds,2,Write letters to servicemen,Buy war bonds,Enlist in the armed forces,Follow the rationing rules
Who wrote the power ballad Woman in Love performed by Barbra Streisand in 1980?,The Bee Gees,4,Paul McCartney,Stevie Wonder,Barbra Streisand,The Bee Gees
What movie directed by Tim Burton was filmed completely in black-and-white?,Ed Wood,4,Mars Attacks!,Big Fish,Frankenweenie,Ed Wood
"In the film Dead Presidents, what was the last name of Anthonys girlfriend, Juanita?",Benson,2,Taylor,Benson,Smith,Miller
Name Obi Wan Kenobis mentor who died in the first Star Wars movie duelling Darth Maul.,Qui Gon Jin,4,Anakan Skywalker,Luke Skywalker,Yoda,Qui Gon Jin
Name this beach-based TV show.,Baywatch,3,Beachwatch,Munsters,Baywatch,Spiderman
In what year did comic strip character Snoopy first appear sleeping on top of his doghouse?,1958,2,1953,1958,1956,1954
The name of this US state means great river and its symbol is the magnolia tree.,Mississippi,3,Missouri,Massachusetts,Mississippi,Minnesota
What 1996 musical movie co-written by Oliver Stone set a Guinness World Record for Most costume changes in a film?,Evita,4,Hair,Moulin Rouge,Chicago,Evita
"Ireland, Germany and Austria are famous for the high consumption of this alcohol.",Beer,2,Brandy,Beer,Wine,Vodka
Who performed the original version of the song We Are the Champions?,Queen,1,Queen,Crazy Frog,Don McLean,Dolly Parton
"Who was the host of the 72nd Academy Awards ceremony held on March 26, 2000?",Billy Crystal,4,Ellen DeGeneres,Steve Martin,Robin Williams,Billy Crystal
What happened to Madonna during the filming of the 1996 movie Evita?,She got pregnant.,3,She broke her leg.,She was infected with measles.,She got pregnant.,Her father passed away.
"In the movie by the same name, what part of the African Queen gets severely damaged in the trip down the rapids?",The propeller and shaft,1,The propeller and shaft,The steam rotor,The tiller rod,The boiler
"On The Rifleman series, Johnny Crawford’s characters name was Matt.",False,1,False,True,N/A,N/A
Which of these landmarks would NOT be found on the Antietam battlefield?,Sherfys Peach Orchard,1,Sherfys Peach Orchard,West Woods,East Woods,Millers Cornfield
What does the term Cenozoic mean?,Recent life,3,Mammalian life,Ancient life,Recent life,Middle life
Aladdins father is the king of thieves.,True,1,True,False,N/A,N/A
"The Autumn of Nations is the series of events in Central and Eastern Europe in the autumn of 1989, when the communist regime in satellite states of the Soviet Union, collapsed within a  few months, marking the end of the Cold War.",True,2,False,True,N/A,N/A
"In what state did pope John Paul II and president Reagan meet in May, 1984?",Alaska,4,Hawaii,California,Connecticut,Alaska
"In the movie Valley Girl, what color do Julie and Tommy wear to the prom?",Pink,4,Baby blue,Red,Yellow,Pink
"During a tour with Pigface in the early 90s, this then rookie artist was caught sleeping at a backstage party and woke up to find his trademark dreadlocks snipped from his head by Al Jogenson, the front man of industrial metal band, Ministry.",Trent Reznor,1,Trent Reznor,Ziggy Marley,Rob Zombie,Johnny Lydon
This is the car Lara Croft drove in the 2003 movie Lara Croft Tomb Raider: The Cradle of Life.,Jeep Wrangler Rubicon,3,Nissan Patrol,Jeep Liberty,Jeep Wrangler Rubicon,Jeep Commander
"She was the first African American woman to get a patent. It was issued on July 14, 1885, for a cabinet bed.",Sarah Goode,4,Bessie Coleman,Rosemarry Donalds,Emily Edwards,Sarah Goode
"Complete this phrase form the Doors song, When the musics over.  For music is your:",Special friend,2,Ticket to freedom,Special friend,Only hope,Means of escape
"The Four Tops were one of Motowns premiere groups for a long time, going for over 40 years without a single change in their line-up.",True,1,True,False,N/A,N/A
Where is Madagascar?,Off the Southeast Coast of Africa,4,Off the Southeast Coast of South America,Off the Southeast Coast of South America,Off the Southwest Coast of Africa,Off the Southeast Coast of Africa
"How many people were in the band Green Day, when they released  American Idiot?",3,1,3,5,4,2
Which of these movies was not directed by Francois Truffaut?,Close Encounters of the Third Kind,4,The Last Metro,Day for Night,Jules and Jim,Close Encounters of the Third Kind
Which of these is not a One Direction song?,Somebody to Love,2,Live While Were Young,Somebody to Love,One Thing,What Makes You Beautiful
"What actor played the role of Paul Rayburn, Johns old CIA sidekick, in the 2004 action movie Man on Fire?",Christopher Walken,1,Christopher Walken,Mickey Rourke,Giancarlo Giannini,Mario Zaragoza
Forrest Gump had to ask Jenny to marry him twice before she finally said yes to him.,False,1,False,True,N/A,N/A
"Fictional boxer Rocky and his son, Robert Jr. have a very close relationship, and in fact, Jr. followed in dads footsteps to become a professional boxer.",False,2,True,False,N/A,N/A
Riga is the capital of which Baltic country?,Latvia,4,Estonia,Lithuania,Belarus,Latvia
Where was Dolly Parton born?,"Sevierville, TN",2,"Memphis,TN","Sevierville, TN","Nashville,TN","Duncan, TN"
"One of the most important American jazz singers of the 20th century, she was discovered by Teddy Wilson. She was famous for her behind the beat type of phrasing and for her renditions of Thelonius Monk songs.",Carmen McRae,4,Billy Holiday,Dinah Washington,Abbey Lincoln,Carmen McRae
"In the film Office Space the two Bobs asked Peter to walk through a typical day at work. Peter admitted he generally came in 15 minutes late and spaced out for about an hour before and after lunch each work day. He then told the two Bobs that in a given week, he only did about how many minutes/hours of real work?",15 minutes,4,2 hours,1 hour,30 minutes,15 minutes
"This band had 3 huge hits in the 70s, one of them being Come and Get It.",Badfinger,4,Baba Booey,Bad Company,Bad Sneakers,Badfinger
"The prototype telephone, the light bulb and the phonograph were all invented during this decade.",1870s,3,1840s,1820s,1870s,1890s
I have crossed oceans of time to find you. (1992),Dracula,4,Moulin Rouge,Notting Hill,A Knights Tale,Dracula
This singer had a #1 hit in the United States with a re-make of the 1988 song Groovy Kind of Love.,Phil Collins,2,Billy Joel,Phil Collins,Peter Gabriel,Steve Winwood
Which of the following was a large inland sea that covered much of central North America during the Late Cretaceous period?,Western Interior Seaway,3,Atlantic Ocean,Iapetus Ocean,Western Interior Seaway,Hudson Seaway
"What Academy Award-winning movie directed by Martin Scorsese ends with the Biblical quote All I know is this: Once I was blind, and now I can see?",Raging Bull,2,The Color of Money,Raging Bull,Cape Fear,The Aviator
Which character is frozen in carbonite near the end of Episode V?,Han Solo,1,Han Solo,Leia Organa,Chewbacca,Luke Skywalker
Bill Haley was the lead singer for The Comets. Who was their bassist?,Marshall Lytle,3,John Deacon,Jack Casady,Marshall Lytle,Geezer Butler
"Which of the following movies released in 1996, boasts the use of 50 gallons of blood?",Scream,3,April Fools Day,I Know What You Did Last Summer,Scream,Seven
Which one of these mountains is not a volcano?,Mount Aspiring,4,Mauna Kea,Mount St. Helens,Mount Vesuvius,Mount Aspiring
Who became lead singer of The Starting Line at the age of 14?,Kenny Vasoli,2,Darius Rucker,Kenny Vasoli,Pierre Bouvier,Joel Madden
Who composed the song Black or White recorded by Michael Jackson in 1991?,Michael Jackson,2,Stevie Wonder,Michael Jackson,Janet Jackson,Paul McCartney
"The great Merle Haggard recorded this song in 1970.  He sang  I dont mind them switchin sides and standing up for things they believe in.  But, best be careful because when you start to put our country down.  Where would you find yourself in regards to Merle Haggard?",The Fightin Side of Me,1,The Fightin Side of Me,Down in the Valley,On the ground,Down in the Boondocks
"Toward the end of this movie, the sheriff and a gang of train robbers are shooting at each other on a moving train.  Stuntman Bob Morgan was playing one of the robbers, when suddenly the chains holding some logs together snapped and he was crushed. Morgan was badly injured and almost died.",How the West Was Won,1,How the West Was Won,Devils Canyon,Gun Fury,The Alamo
Name the 1949 mystery movie directed by Carol Reed and featuring Orson Welles.,The Third Man,3,The First Man,The Fourth Man,The Third Man,The Second Man
What are the three colours of the national flag of the Netherlands from top to bottom?,"Red, white, and blue",1,"Red, white, and blue","Blue, yellow, and red","Red, blue, and white","Green, red, and white"
My Corona was a #1 hit for The Knack in 1979.,False,1,False,True,N/A,N/A
"Which war, fought in the 20th century, is sometimes referred to as The Forgotten War?",Korean War,3,World War I,Gulf War,Korean War,Spanish-American War
All That She Wants was big hit song for this group in 1993.,Ace of Base,3,Rob Base,Esab Torielli Orchestra,Ace of Base,Third Bass
"Woody Guthrie wrote a regular column for the Daily Worker, the American Communist Party daily newspaper.",True,1,True,False,N/A,N/A
"Which was the formal reason for the end of World War II, on September 2, 1945?",The formal surrender of Japan,4,The surrender of Germany,The number of civilians that had died,The usage of an increased number of atomic weapons,The formal surrender of Japan
What is the average salinity of the Dead Sea?,30 %,2,11 %,30 %,49 %,54 %
The national motto of the Republic of Botswana is Pula. What does this mean in English?,Rain,1,Rain,Strength,Wisdom,Sunshine
Denzel Washington turned down both the roles of Detective David Mills in Se7en and Cinque in Amistad.,True,2,False,True,N/A,N/A
The armed uprising in the Warsaw ghetto in April-May 1943 was one of the most forceful Jewish uprising in the organized resistance to the Nazis.,True,1,True,False,N/A,N/A
"When Tina Turner leaves Ike Turner in the hotel room after a fight, she runs across a highway to stay at a motel. How much money does Tina tell the clerk she has in her pocket?",32 cents,4,50 cents,$2.50,$1.00,32 cents
"This movie starred Leonardo DiCaprio, Billy Zane and Kathy Bates.",Titanic,1,Titanic,Whats Eating Gilbert Grape?,Misery,Pet Semetary
Joe Venuti and Stéphane Grappelli were both popular violinists famous for what?,Playing jazz violin,1,Playing jazz violin,Playing Beethoven’s violin duets,Developing the detache technique,Playing with military bands
"In the film Cannibal! The Musical, Packer was chosen as the guide for the trip after the occurrence of this unfortunate event.",The original guide was struck by lightning.,1,The original guide was struck by lightning.,The original guide chickened out.,The original guide broke his leg.,The original guide went missing.
Who is Don Corleones bodyguard when he is shot at the fruit stand?,Fredo,4,Paulie,Tessio,Micheal,Fredo
What is the name of the New York City based band heard in this track?,Winger,1,Winger,Black N Blue,Sanitation Workers,White Lion
What food does Chuck Noland find in one of the boxes from the crashed plane in Cast Away?,Chocolates,2,Jelly beans,Chocolates,Almonds,Protein supplements
"The Talking Heads song, that can be given the title Subjects of Zoology, was never recorded live.",False,2,True,False,N/A,N/A
"This island, located in the Caribbean Sea, is the largest island of an archipelago called Greater Antilles. The city of Havana is located on it.",Cuba,1,Cuba,Hispaniola,Haiti,Jamaica
Who recorded Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini in 1960?,Bryan Hyland,1,Bryan Hyland,Trent Willman,Paul Mckaven,The Beach Boys
What correctly describes the character of Chieko in the 2006 movie Babel?,She is deaf and mute.,4,She is a musical prodigy.,She is the typical Tokyo teenager.,She is blind.,She is deaf and mute.
"If he loved you with all the power of his soul for a whole lifetime, he couldnt love you as much as I do in a single day. (1992)",Wuthering Heights,2,Romeo and Juliet,Wuthering Heights,Shakespeare in Love,Sideways
What is the capital and largest commercial city of Libya?,Tripoli,4,Ethiopia,Windhoek,Nouakchott,Tripoli
Which Central European country fought alongside the Allies on all European and African fronts during WW II and was left on the eastern side of the curtain at the Yalta Conference?,Poland,1,Poland,Hungary,Romania,Greece
"Archangel, a mutant and a member of the X-Men, was which horseman of Apocalypse?",Death,1,Death,Famine,Pestilence,War
In the movie Major League the Cleveland Indians are controlled by the former-showgirl widow of the recently deceased owner. Who was the owner that passed away on their honeymoon?,Donald Phelps,2,Lou Phelps,Donald Phelps,Charlie Phelps,Roger Phelps
"In the movie Adventures in Babysitting what is the last name of Chris, the main character played by Elisabeth Shue?",Parker,3,Smith,Jones,Parker,Thompson
Actress Kim Basinger is prominently featured in the video for what 1993 Tom Petty and the Heartbreakers hit?,Mary Janes Last Dance,4,Jessie,Anya,Queen of the Night,Mary Janes Last Dance
"Singing has always seemed to me the most perfect means of expression. Its so spontaneous. And after singing, I think the violin. Since I can not sing, I paint. Who said this?",Georgia OKeeffe,4,Pablo Picasso,Salvador Dali,John Cage,Georgia OKeeffe
"This is the code name of the bombing operation in North Vietnam, carried out by the US armed forces, which lasted between 1965 and 1968.",Operation Rolling Thunder,2,Operation Farmgate,Operation Rolling Thunder,Operation Urgent Fury,Operation Arc Light
The subject of the 1989 song Black Velvet by Alannah Myles is actually this famous person.,Elvis,2,"Martin Luther King, Jr.",Elvis,Jesus,John F. Kennedy
Who stars as Chris Gardner in the movie The Pursuit of Happyness?,Will Smith,1,Will Smith,Tim Robbins,Chris Gardner,Samuel L. Jackson
"There actually was a pink submarine in WWII, like the one featured in the movie Operation Petticoat.",True,1,True,False,N/A,N/A
"In 1967, this band hopped on The Beatles psychedelic bandwagon and recorded an album with great similarity to Sgt. Peppers Lonely Hearts Club Band entitled Their Satanic Majesties Request.",The Rolling Stones,3,Deep Purple,The Who,The Rolling Stones,Black Sabbath
Which of these is NOT a Murderdolls song?,Elect Death For President,3,Slit My Wrist,Die My Bride,Elect Death For President,She Was A Teenage Zombie
What is the official language spoken in Egypt?,Arabic,2,Arabic and French,Arabic,"Arabic, English and French",Arabic and English
"In the movie The Incredibles, where does the story take place?",Metroville,4,Gothicam,Suburbs of Manhattan,Mythotica,Metroville
What was the name of Aquamans girlfriend and eventual wife?,Mera,1,Mera,Sea Queen,Aquatica,Madeline
"According to KISS song Dr. Love, what cure does Dr. Love have?",The cure youre thinking of,1,The cure youre thinking of,The cure for hangovers,The cure for syphilis,The cure for lovesickness
Which Elvis movie was originally titled The Reno Brothers?,Love Me Tender,2,Charro,Love Me Tender,Flaming Star,Loving You
"What rock band recorded Rosanna, the 1982 song which won a Record of the Year Grammy Award?",Toto,4,The Rolling Stones,The Moody Blues,Jethro Tull,Toto
What Academy Award did the 1997 movie L.A. Confidential win?,Best Actress in a Supporting Role,3,Best Actor,Best Director,Best Actress in a Supporting Role,All of these
The Bible tells the story of a woman that was turned into a pillar of salt near the Dead Sea. Who was her famous husband?,Lot,4,Issac,Abraham,Pharoah,Lot
Billy Joels 1973 classic Piano Man is based on his experiences playing at what piano bar?,The Executive Room in Los Angeles,4,The Club Room in New York,The Windy City Lounge in Chicago,The Redwood Room in San Francisco,The Executive Room in Los Angeles
The production of the 2007 movie Spider-Man 3 was one of the priciest in film history. What does Toby Maguires character study at the Columbia University?,Physics,3,Zoology,Chemistry,Physics,Photography
Where and when does the story in the movie Journey to the Center of the Earth begin?,"Edinburgh, Scotland, 1880",3,"Stockholm, Sweden, 1890","London, England, 1900","Edinburgh, Scotland, 1880","Oslo, Norway, 1860"
"This 80s music legend was born in Brooklyn, New York and had several top 10 hits in the 70s. Her hit Shadows of the Night reached # 13 on the U.S. charts in 1982.",Pat Benatar,1,Pat Benatar,Bonnie Tyler,Joan Jett,Patty Smith
"What famous actor was featured as a live reporter in the 1998 music video Victory by Sean Combs, a.k.a. Puff Daddy, P. Diddy, or just Diddy?",Danny DeVito,4,Val Kilmer,Kevin Spacey,Jim Carrey,Danny DeVito
"In this film, set during the Vietnam war, the following words are delivered by Lieutenant Colonel Bill Kilgore:  You smell that? Do you smell that? Napalm, son. Nothing else in the world smells like that. I love the smell of napalm in the morning.",Apocalypse Now,2,The Deer Hunter,Apocalypse Now,Platoon,Casualties of War
"Although he spent 32 years as a criminal, this Wild West rogue killed only a single person. He was mainly engaged in robbing banks and became the first criminal to use an automobile for his escape.",Henry Starr,2,Burt Alvord,Henry Starr,Cherokee Bill,Frank Canton
In 1986 True Colors by Cyndi Lauper was #1 on the Billoboards chart. In November it was overtaken by this love ballad released by Boston.,Amanda,4,Donna,Sherri,Nancy,Amanda
Come On Eileen by this band was the biggest-selling British single of 1982.,Dexys Midnight Runners,4,Bronski Beat,INXS,Fun Boy Three,Dexys Midnight Runners
One of these actors did not star in Tootsie.,Larry Gelbart,4,Jessica Lange,Teri Garr,Dustin Hoffman,Larry Gelbart
"What is the real name Phoenix, the bassist of Linkin Park?",David Michael Farrell,1,David Michael Farrell,Dave Gough Michael,Michael Gough Farrell,David Gough Farrell
What famous band has been called the Fab Four?,The Beatles,2,The Rolling Stones,The Beatles,Red Hot Chili Peppers,Metallica
The Triple Entente and the Triple Alliance were the belligerent parties in this war which broke out in 1914.,All of these,4,World War I,The War to End All Wars,The Great War,All of these
"In the film High School Musical, Ms. Darbus tells a seamstress to add what?",gold,3,shimmer,ribbon,gold,glitter
Members of Billy Talent were involved in an album called Watoosh! in 1998.,True,1,True,False,N/A,N/A
What is the pet animal that Glenn Closes deranged character cooks in the 1987 movie Fatal Attraction?,Rabbit,1,Rabbit,Turtle,Cat,Parrot
Name the composer.,Georges Bizet,4,Luigi Boccherini,Franz Joseph Haydn,Alexander Borodin,Georges Bizet
"What character did Gary Oldman portray in the 2007 movie Harry Potter and the Order of the Phoenix, one of the highest-grossing movies in history?",Sirius Black,4,Albus Dumbledore,Lord Voldemort,Ron Weasley,Sirius Black
Which of the following songs belongs to George Strait?,Amarillo By Morning,1,Amarillo By Morning,Good Ride Cowboy,Good Run of Bad Luck,Doin My Best
Who was the director of the 1975 movie One Flew Over the Cuckoos Nest?,Milos Forman,4,Martin Scorsese,Stanley Kubrick,Quentin Tarantino,Milos Forman
"What European island is partially occupied by a neighbouring island nation, which has led to centuries of dispute?",Ireland,4,Sardinia,Sicily,Iceland,Ireland
Which member of English boy band Take That titled his debut solo album Life thru a Lens?,Robbie Williams,4,Mark Owen,Gary Barlow,Howard Donald,Robbie Williams
In 2000 Vin Diesel starred in this movie about marooned space travelers on a strange planet.,Pitch Black,3,Riddick,Doom,Pitch Black,Saturn 3
Which was the seat of colonial government in Maryland until 1708?,St. Mary’s City,4,Annapolis,Port Tobacco,Baltimore,St. Mary’s City
"Although this criminal, who acted with his brother, would rob banks and trains, he was a favourite of the press of his day. In various journalistic materials he was often presented as the contemporary Robin Hood. It was a fact that he preferred to rob rich people, but it was simply because they had more money.",Jesse James,1,Jesse James,Bill Miner,Joaquin Murieta,Jim Reed
What was the name of Stella Adlers famous father?,Jacob Adler,3,Jay Adler,Luther Adler,Jacob Adler,Charles Adler
The Chuck Wagon Gangs singing career was launched by a crisis which left the family destitute.,True,1,True,False,N/A,N/A
Who is the Terminator programmed to kill in the 1984 movie The Terminator?,Sarah Connor,2,John Connor,Sarah Connor,Kyle Reese,The entire human race
"Nicknamed Jeru, this great baritone sax player was raised in New England. His duets with Chet Baker have become classics. One of the most interesting part of his quartets was the non-use of pianos. What was this musicians last name?",Mulligan,1,Mulligan,Koz,Getz,Sanborn
The TV-series Taxi was first released during this period.,1970s,3,1990s,1960s,1970s,1980s
Name the actor who was honored with the Golden Raspberry Award for Worst Actor for 1986.,Prince for Under the Cherry Moon,1,Prince for Under the Cherry Moon,Emilio Estevez for Maximum Overdrive,Sylvester Stallone for Cobra,Sean Penn for Shanghai Surprise
What is the physical disability of Virginia Cherrills character in the 1931 movie City Lights?,She cant see.,1,She cant see.,She cant walk.,She cant talk.,She cant hear.
"In the comedy hit Anchorman, Ron Burgundy impressed Veronica Corningstone with his vast knowledge of the history of San Diego.",False,2,True,False,N/A,N/A
"This band released Whatcha Gonna Do? in 1976, a  single from their A Place in the Sun album which reached #6 on the Billboard charts.",Pablo Cruise,2,Ambrosia,Pablo Cruise,Little River Band,Firefall
"In the film Fletch, while trying to find out more about Alan Stanwyk, Fletch ends up in the morgue and passes out. He wakes up in the Records room and asks for what album?",The Beatles - White Album,4,The Eagles - Hotel California,Cream - Wheels of Fire,AC/DC - Highway to Hell,The Beatles - White Album
"I hate music , especially when its played. Who said this?",Jimmy Durante,3,Jack Paar,Abby Hoffman,Jimmy Durante,Joseph Kennedy
In 2003 Sugababes released the single Shape which featured a sample from a 1993 song by this celebrated musician.,Sting,1,Sting,Mick Jagger,Elton John,Tom Jones
Madonna did not appear in the film Vision Quest.,False,2,True,False,N/A,N/A
"This actor, who died in 2000, played the role of Major Frank Burns on the TV series M.A.S.H.",Larry Linville,4,Harry Morgan,Larry Gelbert,Alan Alda,Larry Linville
"The second stage of the Russian Revolution of 1917 was the October Revolution, the first communist revolution of the 20th century. This revolutionary led the assault on the Winter Palace.",Vladimir Antonov-Ovseenko,1,Vladimir Antonov-Ovseenko,Vladimir Ilyich Ulyanov - Lenin,Iosif Vissarionovich Dzughashvili,Alexander Fedorovich Kerensky
Who is credited for the initial idea of the Back to the Future movies?,Bob Gale,2,Michael J Fox,Bob Gale,Steven Speilberg,Robert Zemeckis
"Which one of these pairs, movie -- its director is wrong?",Sleepy Hollow (1999) - Francis Ford Coppola,3,Hellraiser (1987) - Clive Barker,Armageddon (1998) - Michael Bay,Sleepy Hollow (1999) - Francis Ford Coppola,Rose Red (2002) - Craig R. Baxley
Which Admiral in the Imperial fleet takes control shortly after the beginning of the movie Star Wars Episode V: The Empire Strikes Back?,Piett,4,Ozzel,Ackbar,Daala,Piett
Carol Connelly and Melvin Udall were Oscar-winning roles in this 1997 film.,As Good as it Gets,3,Braveheart,Chicago,As Good as it Gets,Th Last Emperor
"Two years after Titanics tragic sinking - In the summer of 1914 - this ship started a journey from Quebec harbor to England.  A heavy fog hid the horizon and she was hit by the Storstad, a Norwegian collier. Only 465 of the 1500 people onboard survived.",The Empress of Ireland,2,Half Moon,The Empress of Ireland,Queen Elizabeth,Endeavour
What 1973 movie won the Oscar for Best Picture at the 46th Academy Awards ceremony in 1974?,The Sting,4,Cries and Whispers,The Exorcist,A Touch of Class,The Sting
This mans biological son became famous after his death.,Neither,3,Both,Julius Caesar,Neither,Alexander the Great
On which of the islands of Papua New Guinea is the active volcano Ulawun located?,New Britain,1,New Britain,New Guinea,Bougainville,New Ireland
Which of the following guitarists was never a member of The Yardbirds?,Ritchie Blackmore,4,Eric Clapton,Jeff Beck,Jimmy Page,Ritchie Blackmore
"In the film The Gold Rush, Georgia Hale plays the role of the showgirl, a role originally written for this actress.",Lita Grey,2,Lolita Parker,Lita Grey,Lillian McMurray,Edna Purviance
This actor is the first one  to win 10 Razzies.,Sylvester Stallone,3,Kevin Costner,Andrew Dice Clay,Sylvester Stallone,Rob Lowe
Who performed the 1990 song Hard to Handle?,The Black Crowes,1,The Black Crowes,Toby Grey,Deep Purple,The Red Hot Chili Peppers
Henry Kissinger held this US post from 1974 to 1977.,Secretary of State,4,President of the Senate,Speaker of the House of Representatives,National Security Advisor,Secretary of State
"What confession did Michael Jackson, the King of Pop, make in a February 1993 interview with Oprah Winfrey?",None of these,3,He slept in a hyperbaric oxygen chamber.,He had bought the bones of the Elephant Man.,None of these,He was bleaching his skin.
"This was the first accident of its kind in the race for space. On 27 January 1967, the crew of this spacecraft (Virgil I. Gus Grissom, Edward H. White II and  Roger B. Chaffee) were performing a flight simulation on ground.   5:40, a communication failure suddenly occurred and the astronauts began working on it. Unexpectedly, at 6:31 PM, a fire broke out consuming all on-board. What was the name of the mission?",Apollo 1,1,Apollo 1,Mercury 2,Gemini 1,Gemini 9
"This singer almost went down in the same plane crash as Buddy Holly, but (fortunately for him) gave up his seat to the Big Bopper.",Waylon Jennings,3,Willie Nelson,Johnny Cash,Waylon Jennings,Charlie Daniels
"In the movie, The Notebook, Noah is occasionally shown as an old man, who does what to help Allie overcome her medical condition?",Read a story to her,3,Take her on a boat ride,Show her pictures,Read a story to her,Take her back to their house
This group had a  U.S. #1 hit in 1979 with Love You Inside Out,The Bee Gees,4,The Pointer Sisters,Captain  Tennille,Ohio Players,The Bee Gees
Which famous metaphor did Winston Churchill use in the 1940s to describe what Russia did to Eastern Europe after WWII?,The Iron Curtain,4,The Russian Winter of  No Dissent.,The Soviet Bloc,The Soviet Gulags,The Iron Curtain
"Duane Allman and Berry Oakley, two of the founding members of the Allman Brothers Band, met the same kind of tragic death. What caused their deaths?",motorcycle accidents,3,drug overdoses,car accidents,motorcycle accidents,suicides
What was the name of Jake LaMottas wife in the movie Raging Bull?,Vicki,3,Tracy Mc,Patty,Vicki,Jennifer
For her performance in what movie did Cher receive the 1987 Academy Award for Best Actress?,Moonstruck,4,Mask,Mermaids,The Witches of Eastwick,Moonstruck
"What American singer, known as the Queen of Country, was born in Sevierville, Tennessee, in a dirt poor family, as she described them?",Dolly Parton,2,Reba McEntire,Dolly Parton,Loretta Lynn,Kitty Wells
"This island is the third largest in Indonesia, and is probably known for its coffee. It is also home to unique (and endangered) species of elephants, tigers, and rhinoceroses. It is also one of two islands which have indigenous orangutans.",Sumatra,2,Timor,Sumatra,New Guinea,Celebes
What nickname was Joe Clark given by the press in the movie Lean on Me?,Crazy Joe,1,Crazy Joe,HNIC,Batman,Crazy Batman
Which band recorded the 1990s rock song Smells Like Teen Spirit?,Nirvana,4,Pearl Jam,Foo Fighters,Stone Temple Pilots,Nirvana
To which countrys territory does the Dead Sea belong?,Israel and Jordan share ownership,2,Egypt and Israel share ownership,Israel and Jordan share ownership,Israels territory,Saudi Arabias territory
James Bond beats the villain at what game in the movie Goldfinger?,Golf,3,Archery,Fencing,Golf,Tennis
Name the sci-fi show from the late 70s early 80s.,Logans Run,1,Logans Run,Flash Gordon,Buck Rogers,Battlestar Galactica
"Dave Lombardo, Jon Dette, Paul Bostaph, and Tony Scaglione were all drummers in the American thrash metal band, Slayer.",True,2,False,True,N/A,N/A
If Fingerprints Showed Up on Skin (I Wonder Whose Id Find on You) is one of the songs on his album Easy Loving. In 1972 he won a Grammy as Best Country Male Vocalist and the Country Music Association award for song of the year which was Easy Loving. Who is this man whose name reminds you of something everybody has?,Freddie Hart,3,Don Knotts,George Jones,Freddie Hart,Porter Wagoner
What type of fish do the fishermen in the movie The Perfect Storm hunt for?,Swordfish,4,Blue marlin,Tuna,Sailfish,Swordfish
In the movie Edward Scissorhands Edward has scissors for hands.,True,1,True,False,N/A,N/A
"This Diva was one of the best WWE Divas ever, but unfortunately, she retired in 2007.",Lita,4,Stacy Keibler,Trish Stratus,Ashley,Lita
